상가업소번호,상호명,상권업종중분류명,행정동명,경도,위도,기초지자체 방문자 비율,상권분류
MA010120220805516312,바실라상사사회적협동조합,비알코올 ,성건동,129.2045839,35.85308407,3.3,로컬상권
MA010120220811516836,산들애,한식,내남면,129.2039909,35.77523523,4.1,로컬상권
MA010120220809119085,전통맛경주빵,기타 간이,보덕동,129.2837762,35.83388099,12.9,핫플레이스
MA010120220809111006,원조경주빵,기타 간이,황오동,129.2138677,35.84027165,11.3,핫플레이스
MA010120220804598636,은성한우소머리곰탕,한식,안강읍,129.2282089,35.99264131,3.2,로컬상권
MA010120220813146601,고향마루,한식,양남면,129.4509393,35.66226014,4.6,로컬상권
MA010120220804408947,나무안,비알코올 ,동천동,129.2254153,35.85829533,2.1,로컬상권
MA010120220809124525,진영,한식,감포읍,129.5090237,35.82134142,4.5,로컬상권
MA010120220809126491,팔복분식,기타 간이,성건동,129.2067435,35.84395286,3.3,로컬상권
MA010120220809122431,낙지마실,한식,보덕동,129.2629791,35.85158347,12.9,핫플레이스
MA010120220813977130,경주갈비탕,한식,외동읍,129.3236056,35.71636152,5.0,핫플레이스
MA010120220810304446,가야포차선지;수구레국밥,한식,동천동,129.2253857,35.85802557,2.1,로컬상권
MA010120220800689203,더샘;Garden,비알코올 ,보덕동,129.2620476,35.85151992,12.9,핫플레이스
MA010120220800754444,갈매기횟집,한식,감포읍,129.4867091,35.74608574,4.5,로컬상권
MA010120220813705170,해든들깨칼국수,한식,용강동,129.2295934,35.8833658,1.6,로컬상권
MA010120220810026580,향수분식,기타 간이,동천동,129.2232412,35.85535316,2.1,로컬상권
MA010120220805000577,시골숯불한우촌,한식,서면,129.0455468,35.89611285,0.9,로컬상권
MA010120220814125746,해솔래식당,한식,양남면,129.4633349,35.67400859,4.6,로컬상권
MA010120220809117598,벤자마스라운지,비알코올 ,동천동,129.2375879,35.84402195,2.1,로컬상권
MA010120220808075124,반월성한정식,한식,황오동,129.2153449,35.84126259,11.3,핫플레이스
MA010120220809116962,청강숯불식당,한식,동천동,129.23252,35.84759427,2.1,로컬상권
MA010120220814196581,비비큐치킨,기타 간이,성건동,129.2066612,35.85216289,3.3,로컬상권
MA010120220808359601,소리지571,비알코올 ,천북면,129.2846994,35.9030443,3.4,로컬상권
MA010120220809122056,필노래궁,주점,감포읍,129.5017088,35.80434816,4.5,로컬상권
MA010120220803108129,이모찬스,기타 간이,황오동,129.2140262,35.85074787,11.3,핫플레이스
MA010120220812411522,롯뽄기,일식,황남동,129.2112702,35.83520156,10.7,핫플레이스
MA010120220811661766,메밀촌옹심이마을,한식,동천동,129.230678,35.84979099,2.1,로컬상권
MA010120220809118042,후노래궁,주점,동천동,129.2231218,35.85464355,2.1,로컬상권
MA010120220809118212,발리호프,주점,동천동,129.2311491,35.84882714,2.1,로컬상권
MA010120220809105227,한줄기손칼국수,한식,성건동,129.2117333,35.8546646,3.3,로컬상권
MA010120220811040593,교촌치킨성건,기타 간이,성건동,129.2073835,35.85505999,3.3,로컬상권
MA010120220809117968,경주빵,기타 간이,월성동,129.2201707,35.83653312,7.1,핫플레이스
MA010120220804932155,내남면8890,한식,동천동,129.2233704,35.8544317,2.1,로컬상권
MA010120220809169830,네코짱,기타 간이,황성동,129.2119636,35.86693255,3.2,로컬상권
MA010120220813573829,피자지아,기타 간이,외동읍,129.3248106,35.71372523,5.0,핫플레이스
MA010120220809125082,동해별미,한식,안강읍,129.2188522,35.99030096,3.2,로컬상권
MA010120220800837054,경북횟집,한식,양남면,129.4633468,35.66685429,4.6,로컬상권
MA010120220804381697,투썸플레이스경주,비알코올 ,성건동,129.2035768,35.85588678,3.3,로컬상권
MA010120220809114778,기와집,중식,동천동,129.2264312,35.85029329,2.1,로컬상권
MA010120220805392937,동네식당,한식,건천읍,129.1264272,35.82094677,7.6,핫플레이스
MA010120220809116638,유림횟집,한식,양남면,129.4647993,35.66741021,4.6,로컬상권
MA010120220809129958,맥시카나,기타 간이,성건동,129.2079288,35.8551671,3.3,로컬상권
MA010120220811223550,한우대가,한식,선도동,129.1672145,35.8439878,2.0,로컬상권
MA010120220805692771,영심이상회,기타 간이,불국동,129.3274188,35.78622601,6.1,핫플레이스
